,득점,경기,승,패,무,승률,Season
0,0,13,0,13,0,0.0,2012
1,1,16,1,15,0,0.063,2012
2,2,20,8,11,1,0.421,2012
3,3,16,7,8,1,0.467,2012
4,4,23,14,8,1,0.636,2012
5,5,11,8,3,0,0.727,2012
6,6,11,10,1,0,0.909,2012
7,7,5,4,1,0,0.8,2012
8,8,7,5,2,0,0.714,2012
9,9,5,5,0,0,1.0,2012
10,10,1,1,0,0,1.0,2012
11,11,2,2,0,0,1.0,2012
12,13,3,3,0,0,1.0,2012
0,0,4,0,4,0,0.0,2013
1,1,8,0,8,0,0.0,2013
2,2,14,3,11,0,0.214,2013
3,3,15,3,11,1,0.214,2013
4,4,11,6,4,1,0.6,2013
5,5,17,8,9,0,0.471,2013
6,6,17,11,5,1,0.688,2013
7,7,12,11,1,0,0.917,2013
8,8,9,9,0,0,1.0,2013
9,9,8,8,0,0,1.0,2013
10,11,7,7,0,0,1.0,2013
11,12,2,1,1,0,0.5,2013
12,13,1,1,0,0,1.0,2013
13,15,3,3,0,0,1.0,2013
0,0,7,0,7,0,0.0,2014
1,1,12,0,12,0,0.0,2014
2,2,16,3,13,0,0.188,2014
3,3,12,2,9,1,0.182,2014
4,4,13,6,7,0,0.462,2014
5,5,10,6,4,0,0.6,2014
6,6,16,10,6,0,0.625,2014
7,7,10,6,4,0,0.6,2014
8,8,8,5,3,0,0.625,2014
9,9,5,5,0,0,1.0,2014
10,10,6,3,3,0,0.5,2014
11,11,4,4,0,0,1.0,2014
12,12,3,3,0,0,1.0,2014
13,13,1,1,0,0,1.0,2014
14,14,1,1,0,0,1.0,2014
15,15,3,3,0,0,1.0,2014
16,17,1,1,0,0,1.0,2014
0,0,4,0,4,0,0.0,2015
1,1,10,1,9,0,0.1,2015
2,2,13,2,11,0,0.154,2015
3,3,14,4,10,0,0.286,2015
4,4,19,7,12,0,0.368,2015
5,5,18,10,8,0,0.556,2015
6,6,18,12,6,0,0.667,2015
7,7,12,9,3,0,0.75,2015
8,8,6,4,2,0,0.667,2015
9,9,13,13,0,0,1.0,2015
10,10,7,7,0,0,1.0,2015
11,11,2,2,0,0,1.0,2015
12,12,2,2,0,0,1.0,2015
13,13,1,1,0,0,1.0,2015
14,14,2,2,0,0,1.0,2015
15,15,1,1,0,0,1.0,2015
16,16,1,1,0,0,1.0,2015
17,18,1,1,0,0,1.0,2015
0,0,2,0,2,0,0.0,2016
1,1,8,1,7,0,0.125,2016
2,2,6,1,5,0,0.167,2016
3,3,15,6,9,0,0.4,2016
4,4,20,10,10,0,0.5,2016
5,5,15,9,6,0,0.6,2016
6,6,15,13,2,0,0.867,2016
7,7,15,12,3,0,0.8,2016
8,8,14,10,4,0,0.714,2016
9,9,7,5,1,1,0.833,2016
10,10,2,2,0,0,1.0,2016
11,11,8,7,1,0,0.875,2016
12,12,6,6,0,0,1.0,2016
13,13,5,5,0,0,1.0,2016
14,14,1,1,0,0,1.0,2016
15,15,1,1,0,0,1.0,2016
16,17,2,2,0,0,1.0,2016
17,18,1,1,0,0,1.0,2016
18,19,1,1,0,0,1.0,2016
0,0,4,0,4,0,0.0,2017
1,1,11,0,10,1,0.0,2017
2,2,15,7,8,0,0.467,2017
3,3,16,5,9,2,0.357,2017
4,4,17,8,9,0,0.471,2017
5,5,13,7,6,0,0.538,2017
6,6,17,12,5,0,0.706,2017
7,7,9,9,0,0,1.0,2017
8,8,10,7,3,0,0.7,2017
9,9,8,7,1,0,0.875,2017
10,10,8,6,2,0,0.75,2017
11,11,2,2,0,0,1.0,2017
12,12,1,1,0,0,1.0,2017
13,13,3,3,0,0,1.0,2017
14,14,4,4,0,0,1.0,2017
15,15,2,2,0,0,1.0,2017
16,16,1,1,0,0,1.0,2017
17,17,2,2,0,0,1.0,2017
18,21,1,1,0,0,1.0,2017
0,0,1,0,1,0,0.0,2018
1,1,8,0,8,0,0.0,2018
2,2,6,0,6,0,0.0,2018
3,3,13,7,6,0,0.538,2018
4,4,11,3,8,0,0.273,2018
5,5,20,12,8,0,0.6,2018
6,6,26,20,6,0,0.769,2018
7,7,16,12,4,0,0.75,2018
8,8,7,6,1,0,0.857,2018
9,9,8,8,0,0,1.0,2018
10,10,5,5,0,0,1.0,2018
11,11,6,4,2,0,0.667,2018
12,12,3,3,0,0,1.0,2018
13,13,9,9,0,0,1.0,2018
14,14,3,2,1,0,0.667,2018
15,17,2,2,0,0,1.0,2018
0,0,6,0,6,0,0.0,2019
1,1,13,2,11,0,0.154,2019
2,2,11,1,10,0,0.091,2019
3,3,28,15,13,0,0.536,2019
4,4,16,9,7,0,0.563,2019
5,5,14,12,2,0,0.857,2019
6,6,7,4,3,0,0.571,2019
7,7,16,14,1,1,0.933,2019
8,8,8,7,1,0,0.875,2019
9,9,9,9,0,0,1.0,2019
10,10,3,3,0,0,1.0,2019
11,11,6,5,1,0,0.833,2019
12,12,4,4,0,0,1.0,2019
13,13,2,2,0,0,1.0,2019
14,14,1,1,0,0,1.0,2019
0,0,6,0,6,0,0.0,2020
1,1,8,2,5,1,0.286,2020
2,2,17,5,11,1,0.313,2020
3,3,16,3,13,0,0.188,2020
4,4,16,7,9,0,0.438,2020
5,5,17,8,8,1,0.5,2020
6,6,13,9,3,1,0.75,2020
7,7,14,11,3,0,0.786,2020
8,8,7,6,1,0,0.857,2020
9,9,8,7,1,0,0.875,2020
10,10,6,5,1,0,0.833,2020
11,11,3,3,0,0,1.0,2020
12,12,3,3,0,0,1.0,2020
13,13,3,3,0,0,1.0,2020
14,14,4,4,0,0,1.0,2020
15,15,1,1,0,0,1.0,2020
16,16,1,1,0,0,1.0,2020
17,18,1,1,0,0,1.0,2020
0,0,8,0,8,0,0.0,2021
1,1,17,1,16,0,0.059,2021
2,2,10,1,9,0,0.1,2021
3,3,23,5,13,5,0.278,2021
4,4,16,8,8,0,0.5,2021
5,5,15,10,3,2,0.769,2021
6,6,11,8,3,0,0.727,2021
7,7,5,4,1,0,0.8,2021
8,8,13,13,0,0,1.0,2021
9,9,11,8,3,0,0.727,2021
10,10,3,2,0,1,1.0,2021
11,11,4,4,0,0,1.0,2021
12,12,1,1,0,0,1.0,2021
13,13,2,1,1,0,0.5,2021
14,14,2,2,0,0,1.0,2021
15,15,1,1,0,0,1.0,2021
16,16,1,1,0,0,1.0,2021
17,18,1,1,0,0,1.0,2021
0,0,15,0,15,0,0.0,2022
1,1,20,2,18,0,0.1,2022
2,2,13,3,10,0,0.231,2022
3,3,19,4,14,1,0.222,2022
4,4,17,8,9,0,0.471,2022
5,5,18,12,6,0,0.667,2022
6,6,14,9,5,0,0.643,2022
7,7,6,3,3,0,0.5,2022
8,8,4,4,0,0,1.0,2022
9,9,5,4,0,1,1.0,2022
10,10,2,1,1,0,0.5,2022
11,11,4,4,0,0,1.0,2022
12,12,1,1,0,0,1.0,2022
13,13,2,1,1,0,0.5,2022
14,16,3,3,0,0,1.0,2022
15,24,1,1,0,0,1.0,2022
