,순,이름,팀,정렬,출장,이닝,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,견제아웃,무도,보크,포일,폭투
,순,이름,팀,도루,출장,이닝,도루,도실,도루%,도루기회,도루시도%,2,3,4,2,3,4,2,3,4,견제아웃,무도,보크,포일,폭투
0,1,스탁,22두,17,29,165.0,17,6,73.9,288,8.0,16,1,0,5,0,1,76.2,100.0,0.0,0,0,0,3,12
1,2,이영하,22두,15,21,98.2,15,4,79.0,199,9.6,15,0,0,4,0,0,79.0,,,0,0,0,1,8
2,3,곽빈,22두,14,27,147.2,14,6,70.0,223,9.0,13,1,0,6,0,0,68.4,100.0,,1,0,1,1,9
3,4,최승용,22두,7,48,93.1,7,3,70.0,174,5.8,7,0,0,2,0,1,77.8,,0.0,0,0,1,0,1
4,,이승진,22두,7,35,31.1,7,1,87.5,47,17.0,7,0,0,1,0,0,87.5,,,0,0,1,0,0
5,6,홍건희,22두,6,58,62.0,6,2,75.0,87,9.2,5,1,0,2,0,0,71.4,100.0,,0,0,0,0,4
6,7,최원준,22두,5,30,165.0,5,6,45.5,235,4.7,5,0,0,6,0,0,45.5,,,0,0,1,2,2
7,8,김명신,22두,4,68,79.2,4,1,80.0,106,4.7,4,0,0,1,0,0,80.0,,,0,0,0,0,4
8,,박신지,22두,4,29,61.2,4,0,100.0,148,2.7,4,0,0,0,0,0,100.0,,,0,0,0,1,4
9,10,미란다,22두,3,3,7.2,3,0,100.0,22,13.6,1,2,0,0,0,0,100.0,100.0,,0,0,0,0,1
10,순,이름,팀,정렬,출장,이닝,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,견제아웃,무도,보크,포일,폭투
11,순,이름,팀,도루,출장,이닝,도루,도실,도루%,도루기회,도루시도%,2,3,4,2,3,4,2,3,4,견제아웃,무도,보크,포일,폭투
12,,윤명준,22두,3,20,22.1,3,0,100.0,42,7.1,2,1,0,0,0,0,100.0,100.0,,0,0,0,0,2
13,12,브랜든,22두,2,11,65.0,2,1,66.7,99,3.0,2,0,0,1,0,0,66.7,,,0,0,1,0,2
14,,박정수,22두,2,13,19.2,2,0,100.0,31,6.5,2,0,0,0,0,0,100.0,,,0,0,0,1,1
15,,이형범,22두,2,31,31.0,2,0,100.0,64,3.1,2,0,0,0,0,0,100.0,,,0,0,0,0,2
16,,박치국,22두,2,15,11.2,2,1,66.7,19,15.8,2,0,0,1,0,0,66.7,,,0,0,0,0,1
17,16,정철원,22두,1,58,72.2,1,1,50.0,97,2.1,1,0,0,1,0,0,50.0,,,1,0,0,1,7
18,,박웅,22두,1,8,6.0,1,0,100.0,17,5.9,1,0,0,0,0,0,100.0,,,0,0,0,1,0
19,,김동주,22두,1,10,16.2,1,0,100.0,37,2.7,1,0,0,0,0,0,100.0,,,0,0,0,0,2
20,19,장원준,22두,0,27,17.0,0,0,,34,0.0,0,0,0,0,0,0,,,,0,0,0,2,0
21,,김강률,22두,0,26,24.2,0,0,,41,0.0,0,0,0,0,0,0,,,,0,0,0,0,1
22,순,이름,팀,정렬,출장,이닝,도루,도실,도루%,도루기회,도루시도%,도루 상황,도루 상황,도루 상황,도실 상황,도실 상황,도실 상황,도루% 상황,도루% 상황,도루% 상황,견제아웃,무도,보크,포일,폭투
23,순,이름,팀,도루,출장,이닝,도루,도실,도루%,도루기회,도루시도%,2,3,4,2,3,4,2,3,4,견제아웃,무도,보크,포일,폭투
24,,임창민,22두,0,32,27.1,0,0,,49,0.0,0,0,0,0,0,0,,,,0,0,0,0,1
25,,이병헌,22두,0,9,5.0,0,0,,15,0.0,0,0,0,0,0,0,,,,0,0,0,0,2
26,,권휘,22두,0,10,9.1,0,0,,14,0.0,0,0,0,0,0,0,,,,0,0,0,0,2
27,,이현승,22두,0,23,8.2,0,1,0.0,17,5.9,0,0,0,1,0,0,0.0,,,0,0,0,0,0
28,,김지용,22두,0,18,19.1,0,0,,26,0.0,0,0,0,0,0,0,,,,1,0,0,0,1
29,,최지강,22두,0,2,1.2,0,1,0.0,8,12.5,0,0,0,1,0,0,0.0,,,0,0,0,0,1
30,,전창민,22두,0,9,9.1,0,0,,24,0.0,0,0,0,0,0,0,,,,0,0,0,0,0
