,순,이름,팀,정렬,구원,구원,구원,구원,구원,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프 상황,터프 상황,터프 상황,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA
,순,이름,팀,구원WAR,등판,이닝,ERA,승,패,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,홀드,세,블론,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA
0,1,정철원,22두,2.51,58,72.2,3.10,4,3,23,3,3,2,5,50.0,6,7,4,1,2,36,13,36.1,1.53,1.52,2.51,1.10
1,2,김명신,22두,1.64,68,79.2,3.62,3,3,10,0,0,1,1,,0,3,1,0,0,43,20,46.5,0.92,0.77,1.64,0.17
2,3,홍건희,22두,1.09,58,62.0,3.48,2,9,9,18,4,0,4,81.8,33,20,2,1,2,24,9,37.5,1.58,1.83,1.09,0.16
3,4,박정수,22두,0.49,13,19.2,3.20,1,1,0,0,0,0,0,,0,1,0,0,0,16,4,25.0,0.85,0.54,0.49,-0.06
4,5,최승용,22두,0.33,33,28.2,4.71,2,2,5,0,0,0,0,,0,2,1,0,0,20,4,20.0,0.63,0.91,0.33,-0.02
5,6,장원준,22두,0.32,27,17.0,3.71,0,1,6,0,0,1,1,,-2,0,2,0,0,30,12,40.0,1.28,0.98,0.32,-0.38
6,7,이형범,22두,0.28,31,31.0,4.36,0,1,0,0,1,0,1,0.0,-4,0,0,0,1,23,11,47.8,0.43,0.28,0.28,-0.88
7,8,김강률,22두,0.23,26,24.2,4.38,3,4,1,9,3,1,4,75.0,19,12,0,0,2,15,7,46.7,1.74,1.91,0.23,-0.34
8,9,임창민,22두,0.19,32,27.1,3.95,0,0,6,2,3,0,3,40.0,0,2,1,0,0,22,10,45.5,1.27,1.00,0.19,-1.35
9,10,이병헌,22두,0.09,9,5.0,3.60,0,0,0,0,0,0,0,,0,0,0,0,0,7,2,28.6,0.22,0.17,0.09,-0.06
10,순,이름,팀,정렬,구원,구원,구원,구원,구원,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프 상황,터프 상황,터프 상황,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA
11,순,이름,팀,구원WAR,등판,이닝,ERA,승,패,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,홀드,세,블론,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA
12,11,박웅,22두,0.09,8,6.0,4.50,0,0,0,0,0,0,0,,0,0,0,0,0,7,1,14.3,0.46,0.38,0.09,0.04
13,12,박신지,22두,0.05,20,29.2,5.16,0,0,0,0,0,0,0,,0,0,0,0,0,21,9,42.9,0.45,0.52,0.05,-0.31
14,13,권휘,22두,0.02,10,9.1,5.79,0,0,1,0,0,0,0,,0,0,0,0,0,6,2,33.3,0.78,0.56,0.02,0.02
15,14,이현승,22두,-0.05,23,8.2,6.23,1,0,2,0,1,0,1,0.0,0,1,0,0,0,31,11,35.5,1.55,1.32,-0.05,-0.70
16,15,김지용,22두,-0.09,18,19.1,6.05,1,0,0,0,1,0,1,0.0,0,1,0,0,0,7,2,28.6,0.52,0.32,-0.09,-0.54
17,16,이영하,22두,-0.10,1,0.2,13.50,0,1,0,0,0,0,0,,-2,0,0,0,0,1,1,100.0,0.09,2.09,-0.10,-0.17
18,17,박치국,22두,-0.10,15,11.2,5.40,1,2,3,0,0,0,0,,-2,1,2,0,0,8,1,12.5,1.26,1.15,-0.10,0.05
19,18,최지강,22두,-0.16,2,1.2,21.60,0,0,0,0,0,0,0,,0,0,0,0,0,3,2,66.7,0.28,0.14,-0.16,-0.06
20,19,김동주,22두,-0.18,10,16.2,7.56,0,0,0,0,0,0,0,,0,0,0,0,0,5,4,80.0,0.26,0.20,-0.18,0.06
21,20,이승진,22두,-0.44,35,31.1,6.61,3,1,2,0,1,0,1,0.0,2,3,0,0,0,19,5,26.3,0.75,0.75,-0.44,0.11
22,순,이름,팀,정렬,구원,구원,구원,구원,구원,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프 상황,터프 상황,터프 상황,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA
23,순,이름,팀,구원WAR,등판,이닝,ERA,승,패,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,홀드,세,블론,IR,IS,Rel%,enLI,avLI,구원WAR,구원WPA
24,21,윤명준,22두,-0.71,20,22.1,8.46,1,1,0,0,0,0,0,,0,1,0,0,0,8,4,50.0,0.52,0.48,-0.71,-0.51
25,22,전창민,22두,-0.74,9,9.1,19.29,0,0,0,0,0,0,0,,0,0,0,0,0,6,1,16.7,0.30,0.20,-0.74,-0.23
26,23,곽빈,22두,,0,0.0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.00,,,0.00
27,,최원준,22두,,0,0.0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.00,,,0.00
28,,브랜든,22두,,0,0.0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.00,,,0.00
29,,스탁,22두,,0,0.0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.00,,,0.00
30,,미란다,22두,,0,0.0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.00,,,0.00
