이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,Season
1,,,71-65-8 (0.522),0.522,,,2021
2,27-10-2 (0.730),0.73,38-33-2 (0.535),0.535,6-22-4 (0.214),0.214,2021
3,41-11-2 (0.788),0.788,21-30-2 (0.412),0.412,9-24-4 (0.273),0.273,2021
4,46-11-3 (0.807),0.807,15-19-2 (0.441),0.441,10-35-3 (0.222),0.222,2021
5,56-7-3 (0.889),0.889,7-12-1 (0.368),0.368,8-46-4 (0.148),0.148,2021
6,57-8-3 (0.877),0.877,6-8-0 (0.429),0.429,8-49-5 (0.140),0.14,2021
7,61-5-3 (0.924),0.924,3-9-2 (0.250),0.25,7-51-3 (0.121),0.121,2021
8,63-3-4 (0.955),0.955,4-7-2 (0.364),0.364,4-54-2 (0.069),0.069,2021
9,65-2-2 (0.970),0.97,4-4-4 (0.500),0.5,2-58-2 (0.033),0.033,2021
10,,,2-3-8 (0.400),0.4,,,2021
11,,,0-3-0 (0.000),0.0,,,2021
12,,,0-1-0 (0.000),0.0,,,2021
